,index,FrameNo,x1,y1,x2,y2,trackNo,detection,x,y,x_trans,y_trans
14,128.0,85.0,1768.1835809742356,1310.0199852057042,1783.3705266575153,1319.47323801387,6.0,1.0,340.3572686480428,447.9877343262978,10.75960198854468,7.003476931630023
15,130.0,86.0,1735.1514426664291,1305.6815486229802,1750.406742494297,1315.1984751209245,6.0,1.0,334.0326594112363,446.5203003415541,10.45574685880543,6.960694000521414
16,132.0,87.0,1704.068223512035,1301.8240162423635,1719.3315731041896,1311.3682040339868,6.0,1.0,328.07581384238824,445.2105264174523,10.161042694215434,6.925796969296158
17,134.0,88.0,1672.9000204214558,1297.114892616002,1687.7274485064909,1306.3619398937683,6.0,1.0,322.06013243892824,443.55531220536824,9.862955134393314,6.887683865028549
18,136.0,89.0,1643.6846377756133,1293.6157299326844,1657.617709769701,1302.9483366093984,6.0,1.0,316.37480830642596,442.37758170716967,9.59423314481988,6.851326968830407
19,138.0,90.0,1630.0652935706942,1295.5403616343265,1642.7769988489256,1304.9479869785318,6.0,1.0,313.64738635688025,443.0461630970055,9.460931225301335,6.868090292555902
20,140.0,91.0,1617.2195420015044,1298.0460825530356,1629.281429696048,1307.4204887840972,6.0,1.0,311.1230097876821,443.8943047463263,9.336632692441318,6.892480610114988
21,142.0,92.0,1603.863539138529,1300.646834911565,1615.575350264168,1309.9948751721006,6.0,1.0,308.52956023442516,444.7759950512912,9.20990347061193,6.915734197841207
22,144.0,93.0,1589.8850364992068,1303.057905188083,1601.2912158664176,1312.337246502557,6.0,1.0,305.82105751837236,445.58584065840535,9.079096731516252,6.932966498830382
0,159.0,127.0,34.774356907417285,365.8833618804046,46.50349801201631,377.3652953461579,7.0,1.0,7.789127763112386,126.62754900896991,-4.771998409151973,0.49354232020344413
1,160.0,128.0,33.84297320293265,366.0775994901082,45.39306171947519,377.23458890816096,7.0,1.0,7.593453346730752,126.63837283822365,-4.777662410780218,0.48601644209907036
2,161.0,129.0,33.867827369427765,366.1052557172762,45.408024649044656,377.3024893054134,7.0,1.0,7.597269151770274,126.65465285571749,-4.760359332241895,0.4863060759104467
3,162.0,130.0,33.69811196477795,366.3841368398489,45.14395924634957,377.4532914306582,7.0,1.0,7.555698491066388,126.72785814979011,-4.759169402930854,0.49906985986154023
4,163.0,131.0,33.587663077712314,366.5215620379221,44.71351776784541,377.2824157259275,7.0,1.0,7.503863164365949,126.72215917458179,-4.770273296550032,0.48288131399609624
5,165.0,132.0,33.61626063119059,366.5152470313873,44.81446979404654,377.33169072683927,7.0,1.0,7.516278332418559,126.7294782847349,-5.175211694784532,-1.3988875370765708
6,168.0,133.0,33.554808622550055,366.52702140595215,44.82780823432587,377.42828384388,7.0,1.0,7.511667448783943,126.74794089441586,-4.770001541201487,0.5073476849838477
7,172.0,134.0,33.31200052924255,366.2030439199895,44.64813620180334,377.2616903659209,7.0,1.0,7.471179770058566,126.66436213759955,-4.780144711055266,0.5027100483271988
8,176.0,135.0,33.06461258744025,366.1075465807865,44.54639897372488,377.35923799195086,7.0,1.0,7.437721941278325,126.66471144572563,-4.8008566982257275,0.5070457939808976
9,180.0,136.0,32.749693119436905,365.84151627561886,44.28401589309072,377.1900447738971,7.0,1.0,7.382397113700565,126.5905622528805,-4.811732069785016,0.49463385673636706
10,183.0,137.0,32.70440441240973,365.5618529490485,44.16247569447435,376.9225968666757,7.0,1.0,7.366409343576391,126.49735070934561,-4.8475559313874585,0.5001305662055826
11,185.0,138.0,32.65454047682569,365.2514979013,44.12038564741616,376.6693534179419,7.0,1.0,7.357597086906511,126.40133022475973,-4.812947056114868,0.4916682310971744
12,186.0,139.0,32.149923012733055,365.0582189581722,43.687732820969245,376.5631937625101,7.0,1.0,7.267775350729805,126.35031475981992,-4.815711315786051,0.4956921042072269
13,187.0,140.0,31.858805948347808,364.65933847721146,43.521380548617714,376.30567866785736,7.0,1.0,7.22393453929253,126.2384844024932,-5.232898645624701,-1.3952604987344428
14,188.0,141.0,31.52997120395085,364.4124892104224,43.22508639546047,376.2647804861929,7.0,1.0,7.164026353276919,126.18946076312703,-5.229631558618541,-1.4029155272762026
